4.1408,4.1638,0
3.9331,3.2931,0
2.4794,6.2963,0
2.4103,4.4276,1
4.3814,5.6118,0
2.6957,3.3488,1
3.1954,3.0466,1
4.1588,2.9614,0
3.033,4.5535,1
2.0448,4.4868,0
2.7269,3.1702,1
4.1578,2.0388,0
2.2962,2.6383,0
4.1412,4.0197,0
2.8419,4.7391,1
2.0315,5.7401,0
2.1073,4.6892,0
3.9095,4.7476,0
3.3323,3.8172,1
3.2708,3.289,1
1.5177,2.0495,0
4.1944,4.3776,0
2.8688,2.6786,0
3.4161,1.3648,0
4.3425,5.203,0
1.8361,3.9199,0
3.4286,4.4028,1
1.6707,2.8506,0
1.0771,3.7856,0
4.29,4.1275,0
3.0766,6.2387,0
3.4311,4.6623,1
1.9948,3.2877,0
3.354,3.7034,1
2.2115,2.8801,0
3.4838,5.0872,0
2.1363,3.606,1
3.3749,5.3356,0
5.7224,3.707,0
3.8322,3.8922,1
2.531,2.9117,0
2.7649,3.1899,1
1.4828,5.107,0
3.1093,5.0236,0
4.0577,3.9248,0
4.1568,5.1699,0
2.3645,4.264,1
3.3676,2.636,0
3.3064,3.0724,1
3.0561,3.2221,1
2.2945,3.636,1
2.2759,4.2026,1
3.0044,4.1833,1
2.5813,3.3479,1
2.5722,4.3135,1
3.532,2.9678,0
3.7144,4.315,1
2.9444,2.1259,0
3.3106,3.8435,1
4.2482,4.9103,0
2.4158,4.1445,1
3.3706,5.3919,0
3.5008,3.7431,1
2.7555,4.1937,1
2.7647,3.5506,1
2.9804,3.7301,1
2.2445,4.69,0
4.4726,4.3869,0
3.0051,2.4721,0
2.2356,3.9091,1
2.6771,4.5099,1
4.4578,3.5065,0
1.2151,2.9844,0
3.5217,4.2173,1
3.8515,4.7033,0
3.7453,4.9931,0
1.6272,6.4792,0
4.792,5.1106,0
2.6951,4.4815,1
3.2899,4.5697,1
2.3808,4.8189,0
2.9513,4.6086,1
1.6282,3.7266,0
2.6347,2.2561,0
2.1964,4.0187,1
2.7267,2.5167,0
3.3401,3.8176,1
3.0601,3.4907,1
3.9516,3.8276,1
3.1073,5.5965,0
0.27313,5.1954,0
2.5077,5.971,0
4.1179,3.585,0
4.0498,2.2038,0
4.9844,5.2967,0
2.2581,4.478,1
4.3398,4.1815,0
3.1706,2.7247,0
3.707,4.0781,1
3.3167,3.1231,1
3.4321,3.8086,1
3.2269,3.2509,1
2.5601,3.4688,1
0.62222,5.6369,0
1.7609,5.985,0
1.4541,3.4636,0
2.5211,3.4732,1
0.53613,4.6981,0
3.3491,4.8022,1
3.9713,2.42,0
1.5086,3.2202,0
2.8798,2.8565,0
2.4901,4.463,1
2.5256,5.2856,0
3.8009,3.6242,1
2.7747,4.6078,1
2.4274,3.2584,1
1.8988,3.5513,0
3.1049,5.2782,0
3.293,4.1994,1
3.1063,4.5566,1
3.3532,4.8804,1
3.7323,2.9361,0
4.028,4.8427,0
2.4107,3.2436,1
3.0878,4.9814,1
3.4569,4.8929,0
3.0532,5.3479,0
3.3431,4.4382,1
1.9775,4.7677,0
3.6242,3.5666,1
2.5158,2.5238,0
2.8206,3.49,1
4.9482,4.6894,0
2.9177,3.5423,1
3.3045,4.1233,1
